NO,Kelompok,Skor_DS,Skor_FOMO,Skor_DB,Norm_DS,Norm_FOMO,Norm_DB,Kategori_Aktual
131,Gamer,43,14,75,64.5833333333333,10,53.125,Sedang
132,Umum,31,19,61,39.5833333333333,22.5,38.5416666666667,Rendah
133,Gamer,26,26,60,29.1666666666667,40,37.5,Rendah
134,Umum,24,25,76,25,37.5,54.1666666666667,Sedang
135,Umum,29,22,80,35.4166666666667,30,58.3333333333333,Sedang
136,Gamer,12,11,27,0,2.5,3.125,Rendah
137,Umum,32,23,79,41.6666666666667,32.5,57.2916666666667,Sedang
138,Umum,30,23,87,37.5,32.5,65.625,Tinggi
139,Gamer,28,26,72,33.3333333333333,40,50,Sedang
140,Umum,23,22,85,22.9166666666667,30,63.5416666666667,Tinggi
141,Umum,24,20,77,25,25,55.2083333333333,Sedang
142,Gamer,12,12,70,0,5,47.9166666666667,Sedang
143,Umum,34,21,73,45.8333333333333,27.5,51.0416666666667,Sedang
144,Umum,40,30,78,58.3333333333333,50,56.25,Sedang
145,Umum,28,26,69,33.3333333333333,40,46.875,Sedang
146,Gamer,37,29,70,52.0833333333333,47.5,47.9166666666667,Sedang
147,Umum,38,19,118,54.1666666666667,22.5,97.9166666666667,Tinggi
148,Gamer,47,34,112,72.9166666666667,60,91.6666666666667,Tinggi
149,Umum,25,13,72,27.0833333333333,7.5,50,Sedang
150,Umum,52,14,80,83.3333333333333,10,58.3333333333333,Sedang
151,Umum,28,21,51,33.3333333333333,27.5,28.125,Rendah
152,Umum,33,24,80,43.75,35,58.3333333333333,Sedang
153,Umum,35,29,85,47.9166666666667,47.5,63.5416666666667,Tinggi
154,Umum,35,30,76,47.9166666666667,50,54.1666666666667,Sedang
155,Umum,37,41,88,52.0833333333333,77.5,66.6666666666667,Tinggi
156,Umum,25,20,79,27.0833333333333,25,57.2916666666667,Sedang
157,Umum,22,32,120,20.8333333333333,55,100,Tinggi
158,Gamer,53,41,97,85.4166666666667,77.5,76.0416666666667,Tinggi
159,Umum,29,20,73,35.4166666666667,25,51.0416666666667,Sedang
160,Umum,42,26,79,62.5,40,57.2916666666667,Sedang
161,Umum,25,20,49,27.0833333333333,25,26.0416666666667,Rendah
162,Gamer,43,24,91,64.5833333333333,35,69.7916666666667,Tinggi
163,Umum,14,15,86,4.16666666666667,12.5,64.5833333333333,Tinggi
164,Umum,30,34,80,37.5,60,58.3333333333333,Sedang
165,Gamer,25,15,67,27.0833333333333,12.5,44.7916666666667,Sedang
166,Gamer,24,16,70,25,15,47.9166666666667,Sedang
167,Umum,21,12,58,18.75,5,35.4166666666667,Rendah
168,Umum,18,29,80,12.5,47.5,58.3333333333333,Sedang
169,Umum,21,24,56,18.75,35,33.3333333333333,Rendah
170,Umum,23,43,67,22.9166666666667,82.5,44.7916666666667,Sedang
171,Gamer,25,41,68,27.0833333333333,77.5,45.8333333333333,Sedang
172,Umum,47,18,73,72.9166666666667,20,51.0416666666667,Sedang
173,Umum,27,31,48,31.25,52.5,25,Rendah
174,Gamer,26,22,92,29.1666666666667,30,70.8333333333333,Tinggi
175,Umum,26,12,48,29.1666666666667,5,25,Rendah
176,Umum,35,25,88,47.9166666666667,37.5,66.6666666666667,Tinggi
177,Umum,16,16,24,8.33333333333333,15,0,Rendah
178,Umum,15,11,65,6.25,2.5,42.7083333333333,Sedang
179,Gamer,43,15,115,64.5833333333333,12.5,94.7916666666667,Tinggi
180,Umum,23,27,76,22.9166666666667,42.5,54.1666666666667,Sedang
181,Umum,21,18,73,18.75,20,51.0416666666667,Sedang
182,Gamer,29,21,64,35.4166666666667,27.5,41.6666666666667,Sedang
183,Umum,41,29,91,60.4166666666667,47.5,69.7916666666667,Tinggi
184,Umum,28,12,75,33.3333333333333,5,53.125,Sedang
185,Gamer,28,25,73,33.3333333333333,37.5,51.0416666666667,Sedang
186,Gamer,38,31,78,54.1666666666667,52.5,56.25,Sedang
187,Umum,19,24,73,14.5833333333333,35,51.0416666666667,Sedang
188,Umum,37,41,65,52.0833333333333,77.5,42.7083333333333,Sedang
189,Gamer,42,27,94,62.5,42.5,72.9166666666667,Tinggi
190,Gamer,24,14,71,25,10,48.9583333333333,Sedang
191,Umum,32,26,81,41.6666666666667,40,59.375,Sedang
