NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
70,2,2,4,3,1,3,1,3,4,3,5,4,2,2,4,3,2,3,1,1,2,2,2,1,1,2,4,4,3,3,3,4,4,5,4,4,3,4,5,3,3,2,4,4,3,4,Tidak
71,2,1,4,2,1,1,1,1,1,1,5,4,1,4,1,1,1,3,2,1,5,1,5,4,3,3,4,3,1,3,4,3,3,4,5,4,5,5,3,3,3,4,3,1,5,4,Tidak
72,2,2,1,3,1,2,1,2,2,3,4,1,5,5,2,1,2,2,1,1,2,1,4,4,4,4,4,2,2,1,1,1,1,1,2,4,2,4,4,4,2,2,3,4,2,2,Tidak
73,3,4,3,3,2,4,1,3,4,4,2,4,2,2,4,3,3,4,4,3,4,3,3,3,3,3,4,4,2,2,3,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,Tidak
74,1,1,1,1,1,3,1,2,2,4,4,4,1,1,2,1,1,3,3,1,3,1,5,5,3,3,4,4,4,4,4,4,3,2,4,5,5,5,5,5,5,5,5,4,4,5,Tidak
75,4,5,5,5,5,3,3,4,4,5,5,5,2,4,4,3,4,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,5,Tidak
76,2,2,2,3,2,2,2,2,2,2,4,2,3,3,4,2,2,2,2,1,1,1,3,3,3,3,4,4,3,4,2,2,2,3,3,3,3,4,4,3,3,3,4,3,2,2,Tidak
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tidak
78,4,3,4,4,2,5,2,4,3,3,4,4,2,2,4,3,2,4,2,2,4,1,4,4,2,2,4,3,3,2,3,4,3,4,4,4,3,4,4,2,3,4,4,4,2,4,Tidak
79,1,2,1,1,1,2,1,1,4,1,4,1,2,4,4,1,2,1,1,1,1,1,4,5,4,5,5,5,5,4,5,4,2,5,5,5,4,4,3,5,4,5,3,2,5,5,Tidak
80,5,5,5,5,5,4,4,5,4,4,5,4,3,3,3,3,3,3,2,2,2,2,5,4,3,3,5,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
81,2,3,2,3,3,2,2,1,2,3,3,2,5,5,3,2,2,3,3,2,3,2,4,3,3,3,5,5,5,3,4,3,3,3,3,3,3,3,2,3,3,2,2,2,2,1,Tidak
82,2,2,1,1,1,1,1,1,1,2,3,2,1,1,2,1,2,1,1,1,1,1,4,3,3,2,4,3,2,2,2,1,1,4,2,2,2,2,2,3,3,2,3,2,3,2,Tidak
83,2,3,1,1,1,3,1,1,4,3,5,1,1,1,3,4,1,1,4,1,5,1,5,5,4,4,5,2,5,3,3,4,1,5,3,3,4,3,4,2,3,3,4,2,3,4,Tidak
84,3,3,2,3,2,4,2,3,3,2,4,3,2,4,3,2,2,3,2,2,3,2,4,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,4,2,3,3,Tidak
85,2,2,2,2,2,2,2,1,4,4,4,3,2,1,1,2,2,4,1,1,4,1,4,5,5,5,4,2,4,4,4,5,2,4,2,2,4,4,5,2,5,2,4,2,4,2,Tidak
86,4,5,3,2,2,2,2,3,2,3,3,3,2,3,5,5,5,3,4,5,4,4,4,3,3,3,4,4,4,4,4,3,3,4,5,5,5,5,5,5,4,4,3,3,4,4,Tidak
87,2,1,1,2,1,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,2,2,4,2,4,4,4,4,2,2,4,4,2,2,Tidak
88,2,2,2,2,2,2,3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,4,4,2,3,4,4,3,2,2,2,2,2,4,4,2,4,2,4,4,2,4,2,2,2,Tidak
89,3,3,2,3,2,2,2,2,3,3,4,3,2,3,3,4,3,3,2,3,2,3,3,3,3,2,4,5,4,3,4,3,2,5,5,3,3,4,3,2,3,3,3,2,3,5,Tidak
90,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,1,1,1,1,1,1,3,5,2,2,3,4,4,2,3,3,2,4,2,2,2,3,3,2,3,4,4,3,3,2,Tidak
91,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2,1,1,1,1,1,2,4,1,2,2,4,2,2,1,1,1,1,Tidak
92,2,2,2,3,2,1,1,2,3,2,4,3,3,3,4,4,2,3,3,3,3,3,4,4,4,3,5,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,Tidak
93,4,4,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,2,2,3,4,4,4,4,4,4,4,4,3,4,4,Tidak
94,2,2,1,1,1,2,1,1,1,2,4,2,5,5,4,2,2,5,4,4,4,2,5,4,5,5,5,5,4,4,4,5,2,5,4,2,4,4,1,2,4,4,5,1,2,1,Tidak
95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tidak
96,3,3,2,3,2,4,2,2,2,4,4,2,2,2,4,2,3,2,4,2,2,4,4,4,2,2,4,4,2,2,2,3,3,4,4,4,3,4,4,2,2,3,3,3,3,3,Tidak
97,3,2,1,1,1,3,1,1,3,3,4,4,1,4,1,1,1,1,1,1,1,1,5,3,4,4,5,5,4,3,5,3,2,4,1,3,1,3,2,3,3,2,2,1,4,4,Ya
98,4,4,4,3,3,4,2,2,4,3,4,3,2,3,3,2,2,3,2,2,2,3,4,3,3,3,4,4,4,2,3,3,3,4,4,2,3,4,4,2,4,3,4,3,3,2,Ya
99,3,4,2,1,3,1,2,1,2,4,3,3,1,1,3,5,5,3,1,1,2,2,3,3,2,4,5,5,5,3,3,4,1,5,4,5,3,5,4,4,5,3,5,5,5,5,Tidak
100,2,4,3,3,2,4,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,2,2,2,2,3,3,2,2,3,3,2,4,4,4,4,4,4,2,3,2,4,3,3,2,2,Tidak
101,2,1,1,2,1,2,1,2,2,1,4,2,1,2,2,2,1,1,2,1,2,1,4,2,1,2,4,3,1,3,1,2,1,1,2,2,2,2,3,2,2,1,1,1,1,2,Tidak
102,2,3,1,1,2,3,1,1,1,1,4,1,2,2,2,2,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,2,2,2,3,4,3,3,Tidak
103,1,1,1,2,2,3,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,4,1,2,1,1,1,1,1,1,1,3,1,3,3,1,5,1,1,3,3,Tidak
104,2,3,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3,2,2,2,Tidak
105,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Ya
106,1,1,1,1,1,3,1,1,5,1,1,1,1,1,5,3,3,1,1,1,1,1,4,4,4,3,4,3,4,1,1,1,1,1,3,3,1,3,3,2,3,1,3,4,3,3,Tidak
107,1,2,1,3,2,2,1,2,4,1,4,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,4,3,3,2,2,2,2,3,3,2,4,3,2,2,3,2,3,3,2,2,Tidak
108,2,3,2,2,1,4,1,3,4,1,4,2,2,2,2,2,2,4,2,2,3,2,5,5,3,3,5,5,5,5,3,3,2,5,4,5,4,4,4,5,3,3,3,2,4,4,Tidak
109,2,2,2,3,1,1,1,1,1,1,3,1,1,3,4,1,4,1,1,2,2,1,5,5,5,5,3,2,3,2,2,4,3,1,5,3,3,5,3,3,2,2,2,2,2,2,Tidak
