No,Kelompok,Norm_DS,Norm_FOMO,Norm_DB
287,Umum,20.83,17.5,17.71
288,Umum,22.92,25,16.67
289,Gamer,83.33,80,79.17
290,Gamer,20.83,20,18.75
291,Gamer,18.75,20,15.63
292,Gamer,79.17,85,80.21
293,Gamer,81.25,80,81.25
294,Gamer,52.08,32.5,62.5
295,Gamer,41.67,40,78.13
296,Gamer,56.25,52.5,62.5
297,Gamer,62.5,82.5,70.83
298,Gamer,56.25,65,61.46
299,Gamer,14.58,12.5,11.46
300,Gamer,87.5,87.5,82.29
301,Gamer,89.58,85,82.29
302,Gamer,85.42,90,81.25
303,Gamer,66.67,82.5,84.38
304,Gamer,85.42,87.5,82.29
305,Gamer,41.67,22.5,80.21
306,Gamer,81.25,82.5,82.29
307,Gamer,83.33,82.5,80.21
308,Gamer,83.33,85,82.29
309,Gamer,20.83,15,18.75
310,Gamer,87.5,85,82.29
311,Gamer,81.25,85,82.29
312,Gamer,81.25,85,84.38
313,Gamer,77.08,82.5,81.25
314,Gamer,83.33,85,86.46
315,Gamer,85.42,82.5,84.38
316,Gamer,85.42,85,85.42
317,Gamer,85.42,85,85.42
318,Gamer,83.33,82.5,85.42
319,Umum,83.33,85,84.38
320,Umum,83.33,82.5,87.5
321,Gamer,85.42,82.5,83.33
322,Gamer,89.58,82.5,80.21
323,Gamer,87.5,90,81.25
324,Gamer,20.83,22.5,35.42
325,Gamer,18.75,32.5,31.25
326,Gamer,85.42,85,80.21
327,Gamer,83.33,82.5,83.33
328,Gamer,85.42,82.5,85.42
329,Gamer,20.83,17.5,16.67
330,Gamer,87.5,87.5,78.13
331,Umum,85.42,82.5,84.38
332,Umum,85.42,85,86.46
333,Umum,85.42,82.5,84.38
334,Umum,79.17,80,75
335,Umum,79.17,77.5,66.67
336,Umum,79.17,82.5,76.04
337,Umum,79.17,82.5,82.29
338,Umum,75,80,67.71
339,Gamer,12.5,12.5,12.5
340,Gamer,87.5,87.5,87.5
341,Gamer,87.5,90,85.42
342,Gamer,87.5,87.5,87.5
343,Gamer,81.25,85,83.33
344,Gamer,85.42,87.5,86.46
345,Gamer,85.42,85,85.42
346,Gamer,81.25,85,86.46
347,Gamer,81.25,82.5,85.42
348,Gamer,81.25,85,86.46
349,Gamer,83.33,87.5,87.5
350,Gamer,50,50,50
351,Gamer,87.5,87.5,87.5
352,Gamer,87.5,87.5,87.5
353,Gamer,87.5,87.5,87.5
354,Gamer,85.42,82.5,85.42
355,Gamer,87.5,87.5,87.5
356,Gamer,83.33,85,87.5
357,Gamer,12.5,12.5,12.5
358,Gamer,87.5,87.5,87.5
359,Gamer,85.42,87.5,88.54
360,Gamer,81.25,87.5,85.42
361,Gamer,87.5,87.5,87.5
362,Gamer,12.5,12.5,11.46
363,Gamer,87.5,82.5,87.5
364,Gamer,87.5,87.5,86.46
365,Gamer,87.5,87.5,87.5
366,Gamer,18.75,10,11.46
367,Gamer,87.5,87.5,87.5
368,Gamer,87.5,87.5,87.5
369,Gamer,89.58,87.5,85.42
370,Umum,77.08,85,85.42
371,Umum,83.33,77.5,82.29
372,Umum,77.08,77.5,83.33
373,Umum,85.42,75,85.42
374,Umum,83.33,77.5,84.38
375,Umum,83.33,85,80.21
376,Umum,85.42,85,88.54
377,Umum,83.33,85,83.33
378,Umum,81.25,85,87.5
379,Umum,20.83,17.5,16.67
380,Gamer,79.17,87.5,87.5
381,Gamer,85.42,90,87.5
382,Gamer,83.33,87.5,87.5
383,Gamer,25,17.5,16.67
384,Gamer,83.33,87.5,89.58
385,Gamer,83.33,87.5,87.5
386,Gamer,79.17,87.5,87.5
387,Gamer,14.58,15,34.38
388,Gamer,31.25,10,66.67
389,Gamer,83.33,82.5,30.21
390,Gamer,79.17,12.5,11.46
391,Gamer,18.75,17.5,33.33
392,Gamer,83.33,87.5,87.5
393,Gamer,83.33,20,17.71
394,Gamer,20.83,17.5,16.67
395,Gamer,83.33,17.5,65.63
396,Gamer,79.17,87.5,87.5
397,Gamer,83.33,87.5,87.5
398,Gamer,20.83,17.5,48.96
399,Gamer,87.5,17.5,16.67
400,Gamer,18.75,75,18.75
401,Gamer,85.42,87.5,88.54
402,Gamer,87.5,90,87.5
403,Gamer,91.67,87.5,87.5
404,Gamer,14.58,12.5,15.63
405,Gamer,85.42,90,87.5
406,Gamer,89.58,87.5,89.58
407,Gamer,87.5,82.5,88.54
408,Gamer,89.58,87.5,87.5
