NO,Kelompok,R1,R2,R3,R4,R5,R6,R7,R8,R9,mu_Rendah,mu_Sedang,mu_Tinggi
387,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
388,Gamer,0.375,0,0,0.0625,0,0,0,0,0,0.375,0.0625,0
389,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
390,Gamer,0,0,0,0,0,0,1,0,0,0,1,0
391,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
392,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
393,Gamer,0,0,0,0,0,0,1,0,0,0,1,0
394,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
395,Gamer,0,0,0,0,0,0,1,0,0,0,1,0
396,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
397,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
398,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
399,Gamer,0,0,0,0,0,0,1,0,0,0,1,0
400,Gamer,0,0,1,0,0,0,0,0,0,0,1,0
401,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
402,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
403,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
404,Gamer,1,0,0,0,0,0,0,0,0,1,0,0
405,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
406,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
407,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
408,Gamer,0,0,0,0,0,0,0,0,1,0,0,1
