No,Kelompok,Skor_DS,Skor_FOMO,Skor_DB
393,Gamer,52,18,41
394,Gamer,22,17,40
395,Gamer,52,17,87
396,Gamer,50,45,108
397,Gamer,52,45,108
398,Gamer,22,17,71
399,Gamer,54,17,40
400,Gamer,21,40,42
401,Gamer,53,45,109
402,Gamer,54,46,108
403,Gamer,56,45,108
404,Gamer,19,15,39
405,Gamer,53,46,108
406,Gamer,55,45,110
407,Gamer,54,43,109
408,Gamer,55,45,108
