NO,Kelompok,mu_Rendah,mu_Sedang,mu_Tinggi,z_star,Kategori_Klasifikasi
191,Umum,0,0.5,0,50,Sedang
192,Gamer,0,0,0.75,80,Tinggi
193,Gamer,0.58333333333333,0,0,20,Rendah
194,Gamer,0,0.583333333333335,0,50,Sedang
195,Umum,0,0.25,0,50,Sedang
196,Umum,0,1,0,50,Sedang
197,Umum,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
198,Umum,0,0.479166666666665,0,50,Sedang
199,Umum,0,0,0,20,Rendah
200,Umum,0,0.583333333333335,0,50,Sedang
201,Gamer,0,0,0,20,Rendah
202,Umum,1,0,0,20,Rendah
203,Umum,0,0.25,0,50,Sedang
204,Umum,0,0.0625,0.25,74,Tinggi
205,Gamer,0,0.25,0,50,Sedang
206,Umum,0,0.479166666666665,0,50,Sedang
207,Gamer,0,0,1,80,Tinggi
208,Umum,0,0.6875,0,50,Sedang
209,Gamer,0,0.58333333333333,0,50,Sedang
210,Umum,0,0.625,0,50,Sedang
211,Umum,0,0,0,20,Rendah
212,Umum,0.25,0.125,0,30,Rendah
213,Umum,0,0.375,0,50,Sedang
214,Umum,0,0.75,0,50,Sedang
215,Umum,0,0.479166666666665,0,50,Sedang
216,Umum,0,0.270833333333335,0,50,Sedang
217,Gamer,1,0,0,20,Rendah
218,Umum,0,0.5,0,50,Sedang
219,Gamer,0,0.895833333333335,0,50,Sedang
220,Gamer,0,0.895833333333335,0,50,Sedang
221,Umum,0,0.625,0,50,Sedang
222,Umum,1,0,0,20,Rendah
223,Umum,0,0.125,0.25,70,Tinggi
224,Umum,1,0,0,20,Rendah
225,Umum,0,0.75,0,50,Sedang
226,Gamer,0,0,0,20,Rendah
227,Gamer,0,0.5,0,50,Sedang
228,Umum,1,0,0,20,Rendah
229,Umum,0,0.25,0,50,Sedang
230,Umum,0,0.58333333333333,0,50,Sedang
231,Umum,0,0.25,0,50,Sedang
232,Umum,0,0.25,0,50,Sedang
233,Umum,0,0,0,20,Rendah
234,Umum,0,0.625,0,50,Sedang
235,Umum,1,0,0,20,Rendah
236,Umum,0,0,0.375,80,Tinggi
237,Umum,0,0,0.5,80,Tinggi
238,Umum,1,0,0,20,Rendah
239,Gamer,0.58333333333333,0,0,20,Rendah
240,Umum,1,0,0,20,Rendah
241,Umum,0,0.25,0,50,Sedang
242,Gamer,0,0,0,20,Rendah
243,Umum,0.25,0.125,0,30,Rendah
244,Umum,0,0.583333333333335,0,50,Sedang
245,Umum,0.375,0.0625,0,24.2857142857143,Rendah
246,Umum,0,0.375,0,50,Sedang
247,Umum,0,0,0.25,80,Tinggi
248,Gamer,0,0.16666666666667,0,50,Sedang
249,Gamer,0,0.16666666666667,0,50,Sedang
250,Umum,0,0.25,0,50,Sedang
251,Umum,1,0,0,20,Rendah
252,Gamer,0,0,0.5,80,Tinggi
253,Umum,1,0,0,20,Rendah
254,Gamer,1,0,0,20,Rendah
255,Gamer,0.16666666666667,0.166666666666665,0,34.9999999999998,Rendah
256,Umum,0,0.375,0,50,Sedang
257,Gamer,0,0.166666666666665,0.16666666666667,65.0000000000002,Tinggi
258,Gamer,0,0,1,80,Tinggi
259,Gamer,0,0,1,80,Tinggi
260,Umum,1,0,0,20,Rendah
261,Gamer,0.375,0.0625,0,24.2857142857143,Rendah
262,Gamer,0,0,1,80,Tinggi
263,Gamer,0,0,1,80,Tinggi
264,Umum,0,0,0.58333333333333,80,Tinggi
265,Gamer,0.58333333333333,0,0,20,Rendah
266,Gamer,0,0,1,80,Tinggi
267,Gamer,0,0,0.58333333333333,80,Tinggi
268,Gamer,0.375,0.0625,0,24.2857142857143,Rendah
269,Gamer,0,0,1,80,Tinggi
270,Umum,0,0,0.79166666666667,80,Tinggi
271,Umum,0,0,0.5,80,Tinggi
272,Umum,0,0,1,80,Tinggi
273,Umum,0,0,0.79166666666667,80,Tinggi
274,Gamer,0,0,1,80,Tinggi
275,Gamer,0,0,1,80,Tinggi
276,Gamer,0,0,1,80,Tinggi
277,Gamer,0,0,1,80,Tinggi
278,Gamer,0,0,1,80,Tinggi
279,Gamer,0,0,1,80,Tinggi
280,Gamer,1,0,0,20,Rendah
281,Gamer,1,0,0,20,Rendah
282,Gamer,0,0,1,80,Tinggi
283,Gamer,1,0,0,20,Rendah
284,Umum,1,0,0,20,Rendah
285,Umum,1,0,0,20,Rendah
286,Umum,1,0,0,20,Rendah
287,Umum,1,0,0,20,Rendah
288,Umum,1,0,0,20,Rendah
289,Gamer,0,0,1,80,Tinggi
290,Gamer,1,0,0,20,Rendah
291,Gamer,1,0,0,20,Rendah
292,Gamer,0,0,1,80,Tinggi
293,Gamer,0,0,1,80,Tinggi
294,Gamer,0,0.25,0,50,Sedang
295,Gamer,0,0.5,0,50,Sedang
296,Gamer,0,0.6875,0,50,Sedang
297,Gamer,0,0,0.375,80,Tinggi
298,Gamer,0,0.25,0,50,Sedang
299,Gamer,1,0,0,20,Rendah
300,Gamer,0,0,1,80,Tinggi
301,Gamer,0,0,1,80,Tinggi
302,Gamer,0,0,1,80,Tinggi
303,Gamer,0,0,0.16666666666667,80,Tinggi
304,Gamer,0,0,1,80,Tinggi
305,Gamer,0,0.583333333333335,0,50,Sedang
306,Gamer,0,0,1,80,Tinggi
307,Gamer,0,0,1,80,Tinggi
308,Gamer,0,0,1,80,Tinggi
309,Gamer,1,0,0,20,Rendah
310,Gamer,0,0,1,80,Tinggi
311,Gamer,0,0,1,80,Tinggi
312,Gamer,0,0,1,80,Tinggi
313,Gamer,0,0,1,80,Tinggi
314,Gamer,0,0,1,80,Tinggi
315,Gamer,0,0,1,80,Tinggi
316,Gamer,0,0,1,80,Tinggi
317,Gamer,0,0,1,80,Tinggi
318,Gamer,0,0,1,80,Tinggi
319,Umum,0,0,1,80,Tinggi
320,Umum,0,0,1,80,Tinggi
321,Gamer,0,0,1,80,Tinggi
322,Gamer,0,0,1,80,Tinggi
323,Gamer,0,0,1,80,Tinggi
324,Gamer,1,0,0,20,Rendah
325,Gamer,0.25,0.125,0,30,Rendah
326,Gamer,0,0,1,80,Tinggi
327,Gamer,0,0,1,80,Tinggi
328,Gamer,0,0,1,80,Tinggi
329,Gamer,1,0,0,20,Rendah
330,Gamer,0,0,1,80,Tinggi
331,Umum,0,0,1,80,Tinggi
332,Umum,0,0,1,80,Tinggi
333,Umum,0,0,1,80,Tinggi
334,Umum,0,0,1,80,Tinggi
335,Umum,0,0,1,80,Tinggi
336,Umum,0,0,1,80,Tinggi
337,Umum,0,0,1,80,Tinggi
338,Umum,0,0,1,80,Tinggi
339,Gamer,1,0,0,20,Rendah
340,Gamer,0,0,1,80,Tinggi
341,Gamer,0,0,1,80,Tinggi
342,Gamer,0,0,1,80,Tinggi
343,Gamer,0,0,1,80,Tinggi
344,Gamer,0,0,1,80,Tinggi
345,Gamer,0,0,1,80,Tinggi
346,Gamer,0,0,1,80,Tinggi
347,Gamer,0,0,1,80,Tinggi
348,Gamer,0,0,1,80,Tinggi
349,Gamer,0,0,1,80,Tinggi
350,Gamer,0,1,0,50,Sedang
351,Gamer,0,0,1,80,Tinggi
352,Gamer,0,0,1,80,Tinggi
353,Gamer,0,0,1,80,Tinggi
354,Gamer,0,0,1,80,Tinggi
355,Gamer,0,0,1,80,Tinggi
356,Gamer,0,0,1,80,Tinggi
357,Gamer,1,0,0,20,Rendah
358,Gamer,0,0,1,80,Tinggi
359,Gamer,0,0,1,80,Tinggi
360,Gamer,0,0,1,80,Tinggi
361,Gamer,0,0,1,80,Tinggi
362,Gamer,1,0,0,20,Rendah
363,Gamer,0,0,1,80,Tinggi
364,Gamer,0,0,1,80,Tinggi
365,Gamer,0,0,1,80,Tinggi
366,Gamer,1,0,0,20,Rendah
367,Gamer,0,0,1,80,Tinggi
368,Gamer,0,0,1,80,Tinggi
369,Gamer,0,0,1,80,Tinggi
370,Umum,0,0,1,80,Tinggi
371,Umum,0,0,1,80,Tinggi
372,Umum,0,0,1,80,Tinggi
373,Umum,0,0,1,80,Tinggi
374,Umum,0,0,1,80,Tinggi
375,Umum,0,0,1,80,Tinggi
376,Umum,0,0,1,80,Tinggi
377,Umum,0,0,1,80,Tinggi
378,Umum,0,0,1,80,Tinggi
379,Umum,1,0,0,20,Rendah
380,Gamer,0,0,1,80,Tinggi
381,Gamer,0,0,1,80,Tinggi
382,Gamer,0,0,1,80,Tinggi
383,Gamer,1,0,0,20,Rendah
384,Gamer,0,0,1,80,Tinggi
385,Gamer,0,0,1,80,Tinggi
386,Gamer,0,0,1,80,Tinggi
387,Gamer,1,0,0,20,Rendah
388,Gamer,0.375,0.0625,0,24.2857142857143,Rendah
389,Gamer,0,0,1,80,Tinggi
390,Gamer,0,1,0,50,Sedang
391,Gamer,1,0,0,20,Rendah
392,Gamer,0,0,1,80,Tinggi
393,Gamer,0,1,0,50,Sedang
394,Gamer,1,0,0,20,Rendah
395,Gamer,0,1,0,50,Sedang
396,Gamer,0,0,1,80,Tinggi
397,Gamer,0,0,1,80,Tinggi
398,Gamer,1,0,0,20,Rendah
399,Gamer,0,1,0,50,Sedang
400,Gamer,0,1,0,50,Sedang
401,Gamer,0,0,1,80,Tinggi
402,Gamer,0,0,1,80,Tinggi
403,Gamer,0,0,1,80,Tinggi
404,Gamer,1,0,0,20,Rendah
405,Gamer,0,0,1,80,Tinggi
406,Gamer,0,0,1,80,Tinggi
407,Gamer,0,0,1,80,Tinggi
408,Gamer,0,0,1,80,Tinggi
