NO,Kelompok,Norm_DS,DS_Rendah,DS_Sedang,DS_Tinggi,Norm_FOMO,FOMO_Rendah,FOMO_Sedang,FOMO_Tinggi
31,Umum,43.75,0,0.6875,0,12.5,1,0,0
32,Gamer,41.6666666666667,0,0.583333333333335,0,37.5,0,0.375,0
33,Umum,50,0,1,0,45,0,0.75,0
34,Umum,4.16666666666667,1,0,0,2.5,1,0,0
35,Umum,41.6666666666667,0,0.583333333333335,0,60,0,0.5,0
36,Umum,91.6666666666667,0,0,1,100,0,0,0
37,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,15,1,0,0
38,Umum,2.08333333333333,1,0,0,25,1,0,0
39,Umum,0,0,0,0,67.5,0,0.125,0.25
40,Umum,27.0833333333333,0.79166666666667,0,0,35,0,0.25,0
41,Umum,0,0,0,0,22.5,1,0,0
42,Umum,2.08333333333333,1,0,0,7.5,1,0,0
43,Umum,54.1666666666667,0,0.791666666666665,0,50,0,1,0
44,Umum,12.5,1,0,0,12.5,1,0,0
45,Umum,54.1666666666667,0,0.791666666666665,0,22.5,1,0,0
46,Umum,0,0,0,0,25,1,0,0
47,Umum,41.6666666666667,0,0.583333333333335,0,30,0.5,0,0
48,Umum,0,0,0,0,5,1,0,0
49,Umum,39.5833333333333,0,0.479166666666665,0,45,0,0.75,0
50,Umum,29.1666666666667,0.58333333333333,0,0,25,1,0,0
51,Umum,50,0,1,0,50,0,1,0
52,Umum,35.4166666666667,0,0.270833333333335,0,35,0,0.25,0
53,Umum,50,0,1,0,55,0,0.75,0
54,Umum,29.1666666666667,0.58333333333333,0,0,45,0,0.75,0
55,Umum,35.4166666666667,0,0.270833333333335,0,27.5,0.75,0,0
56,Umum,20.8333333333333,1,0,0,40,0,0.5,0
57,Umum,18.75,1,0,0,2.5,1,0,0
58,Umum,10.4166666666667,1,0,0,25,1,0,0
59,Umum,27.0833333333333,0.79166666666667,0,0,27.5,0.75,0,0
60,Umum,47.9166666666667,0,0.895833333333335,0,27.5,0.75,0,0
61,Umum,35.4166666666667,0,0.270833333333335,0,47.5,0,0.875,0
62,Umum,39.5833333333333,0,0.479166666666665,0,30,0.5,0,0
63,Umum,29.1666666666667,0.58333333333333,0,0,30,0.5,0,0
64,Umum,43.75,0,0.6875,0,30,0.5,0,0
65,Umum,45.8333333333333,0,0.791666666666665,0,42.5,0,0.625,0
66,Umum,54.1666666666667,0,0.791666666666665,0,45,0,0.75,0
67,Umum,47.9166666666667,0,0.895833333333335,0,17.5,1,0,0
68,Umum,50,0,1,0,42.5,0,0.625,0
69,Umum,6.25,1,0,0,10,1,0,0
70,Umum,47.9166666666667,0,0.895833333333335,0,30,0.5,0,0
71,Umum,25,1,0,0,25,1,0,0
72,Umum,25,1,0,0,30,0.5,0,0
73,Umum,52.0833333333333,0,0.895833333333335,0,55,0,0.75,0
74,Umum,27.0833333333333,0.79166666666667,0,0,17.5,1,0,0
75,Umum,85.4166666666667,0,0,1,70,0,0,0.5
76,Umum,31.25,0.375,0.0625,0,27.5,0.75,0,0
77,Umum,0,0,0,0,0,0,0,0
78,Umum,62.5,0,0.375,0,40,0,0.5,0
79,Umum,16.6666666666667,1,0,0,20,1,0,0
80,Umum,89.5833333333333,0,0,1,40,0,0.5,0
81,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,50,0,1,0
82,Umum,12.5,1,0,0,5,1,0,0
83,Umum,29.1666666666667,0.58333333333333,0,0,30,0.5,0,0
84,Umum,45.8333333333333,0,0.791666666666665,0,37.5,0,0.375,0
85,Umum,37.5,0,0.375,0,22.5,1,0,0
86,Umum,45.8333333333333,0,0.791666666666665,0,75,0,0,1
87,Umum,27.0833333333333,0.79166666666667,0,0,75,0,0,1
88,Umum,31.25,0.375,0.0625,0,27.5,0.75,0,0
89,Umum,41.6666666666667,0,0.583333333333335,0,45,0,0.75,0
90,Umum,35.4166666666667,0,0.270833333333335,0,15,1,0,0
91,Umum,8.33333333333333,1,0,0,0,0,0,0
92,Umum,31.25,0.375,0.0625,0,52.5,0,0.875,0
93,Umum,56.25,0,0.6875,0,25,1,0,0
94,Umum,16.6666666666667,1,0,0,67.5,0,0.125,0.25
95,Umum,43.75,0,0.6875,0,42.5,0,0.625,0
96,Gamer,31.25,0.375,0.0625,0,7.5,1,0,0
97,Gamer,58.3333333333333,0,0.583333333333335,0,35,0,0.25,0
98,Umum,35.4166666666667,0,0.270833333333335,0,35,0,0.25,0
99,Umum,37.5,0,0.375,0,40,0,0.5,0
100,Umum,18.75,1,0,0,12.5,1,0,0
101,Umum,18.75,1,0,0,35,0,0.25,0
102,Umum,20.8333333333333,1,0,0,0,0,0,0
103,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,25,1,0,0
104,Umum,12.5,1,0,0,20,1,0,0
105,Umum,27.0833333333333,0.79166666666667,0,0,25,1,0,0
106,Umum,35.4166666666667,0,0.270833333333335,0,32.5,0.25,0.125,0
107,Umum,14.5833333333333,1,0,0,25,1,0,0
108,Umum,29.1666666666667,0.58333333333333,0,0,27.5,0.75,0,0
109,Umum,41.6666666666667,0,0.583333333333335,0,40,0,0.5,0
110,Gamer,35.4166666666667,0,0.270833333333335,0,25,1,0,0
111,Umum,16.6666666666667,1,0,0,17.5,1,0,0
112,Umum,43.75,0,0.6875,0,32.5,0.25,0.125,0
113,Gamer,29.1666666666667,0.58333333333333,0,0,10,1,0,0
114,Gamer,60.4166666666667,0,0.479166666666665,0,20,1,0,0
115,Umum,27.0833333333333,0.79166666666667,0,0,42.5,0,0.625,0
116,Umum,33.3333333333333,0.16666666666667,0.166666666666665,0,30,0.5,0,0
117,Umum,20.8333333333333,1,0,0,27.5,0.75,0,0
118,Umum,39.5833333333333,0,0.479166666666665,0,52.5,0,0.875,0
119,Umum,12.5,1,0,0,0,0,0,0
120,Umum,35.4166666666667,0,0.270833333333335,0,40,0,0.5,0
121,Umum,27.0833333333333,0.79166666666667,0,0,35,0,0.25,0
122,Gamer,31.25,0.375,0.0625,0,17.5,1,0,0
123,Gamer,58.3333333333333,0,0.583333333333335,0,55,0,0.75,0
124,Gamer,54.1666666666667,0,0.791666666666665,0,47.5,0,0.875,0
125,Gamer,39.5833333333333,0,0.479166666666665,0,35,0,0.25,0
126,Umum,20.8333333333333,1,0,0,47.5,0,0.875,0
127,Umum,12.5,1,0,0,7.5,1,0,0
128,Umum,25,1,0,0,65,0,0.25,0
129,Gamer,27.0833333333333,0.79166666666667,0,0,27.5,0.75,0,0
130,Umum,22.9166666666667,1,0,0,12.5,1,0,0
131,Gamer,64.5833333333333,0,0.270833333333335,0,10,1,0,0
132,Umum,39.5833333333333,0,0.479166666666665,0,22.5,1,0,0
133,Gamer,29.1666666666667,0.58333333333333,0,0,40,0,0.5,0
134,Umum,25,1,0,0,37.5,0,0.375,0
135,Umum,35.4166666666667,0,0.270833333333335,0,30,0.5,0,0
136,Gamer,0,0,0,0,2.5,1,0,0
137,Umum,41.6666666666667,0,0.583333333333335,0,32.5,0.25,0.125,0
138,Umum,37.5,0,0.375,0,32.5,0.25,0.125,0
139,Gamer,33.3333333333333,0.16666666666667,0.166666666666665,0,40,0,0.5,0
140,Umum,22.9166666666667,1,0,0,30,0.5,0,0
